val40,val30,val20,val10,val0
6.845040833491263e-09,6.764955651037353e-09,6.6044829999340514e-09,7.021913145626319e-09,6.825045823368639e-09
6.589130500836371e-09,6.711245188051154e-09,6.5291069462016845e-09,6.558624144091163e-09,6.8905528494299965e-09
6.555101968844663e-09,6.697914055062277e-09,8.840401223528313e-09,6.726509761003774e-09,6.798739533019137e-09
6.3595203138234764e-09,6.497661850956258e-09,6.894784114623741e-09,6.912778108131189e-09,7.318396946754156e-09
6.773344624454276e-09,6.819008178366669e-09,6.601105634693529e-09,7.0148272203105355e-09,7.156901559563922e-09
6.546459162620405e-09,6.625248761439304e-09,6.4895146388423895e-09,6.475707714285142e-09,7.24540127116292e-09
6.511658376175718e-09,6.657408134833269e-09,6.9069570844426946e-09,6.5934477446741334e-09,7.085793832237904e-09
6.977248654037439e-09,6.390124964199999e-09,6.615392264873136e-09,7.5681187598195e-09,7.059398329623485e-09
6.734081863027289e-09,6.860048394728603e-09,6.9298942250013595e-09,6.5107825966718054e-09,7.03836130569974e-09
6.748877612379195e-09,6.6498861786264794e-09,6.61688306024343e-09,6.946194796006598e-09,7.339723571330351e-09
